Order ID,Region,Amount,Profit,Quantity, Unit_Price , Unit_Cost ,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Month,Revenue
B-25553,East,4080,72,17,"3,774.65","3,519.63",Office Supplies,Paper,COD,30-05-2024,Karen Johnson,New York,Rochester,May,64169.05
B-26703,North,4206,1821,17,"1,084.28","1,011.65",Electronics,Electronic Games,EMI,23-01-2022,Juan Erickson,Texas,Austin,January,18432.76
B-26232,East,5219,1180,20,"2,558.95","2,263.65",Office Supplies,Binders,COD,17-12-2021,Alexander Reed,New York,New York City,December,51179
B-26232,West,5219,1180,20,"4,314.56","4,157.62",Office Supplies,Binders,COD,03-02-2023,Jacqueline Harris,California,San Francisco,February,86291.2
B-25394,West,3686,760,20,"3,317.75","3,290.89",Office Supplies,Pens,Debit Card,30-10-2022,Tyler Park,California,San Francisco,October,66355
B-25394,South,3686,760,20,"2,406.58","2,085.46",Office Supplies,Pens,Debit Card,15-01-2022,Richard Wolfe,Ohio,Columbus,January,48131.6
B-26157,North,6045,1606,4,"3,764.52","3,333.64",Office Supplies,Paper,COD,14-12-2023,Sierra Rios,Florida,Orlando,December,15058.08
B-26157,North,9337,554,11,814.14,635.2,Office Supplies,Pens,COD,14-12-2023,Sierra Rios,Florida,Orlando,December,8955.54
B-25555,West,4051,1848,12,"2,238.65","2,037.41",Electronics,Phones,Credit Card,03-07-2023,Jessica Richardson,California,San Diego,July,26863.8
B-25555,East,4051,1848,12,"4,422.59","3,975.99",Electronics,Phones,Credit Card,08-05-2021,Kimberly Warren,Ohio,Cincinnati,May,53071.08
B-25555,South,5011,866,11,"1,550.19","1,141.52",Furniture,Bookcases,Credit Card,03-07-2023,Jessica Richardson,California,San Diego,July,17052.09
B-25555,East,5011,866,11,"1,330.84",970.51,Furniture,Bookcases,Credit Card,08-05-2021,Kimberly Warren,Ohio,Cincinnati,May,14639.24
B-26139,East,3958,630,15,"4,888.46","4,756.55",Furniture,Sofas,EMI,07-10-2022,Casey Garcia,Florida,Orlando,October,73326.9
B-26139,East,3132,963,1,"1,545.00","1,088.99",Furniture,Tables,Debit Card,07-10-2022,Casey Garcia,Florida,Orlando,October,1545
B-25032,North,7784,2937,12,"1,427.21","1,341.55",Office Supplies,Markers,UPI,06-08-2024,Denise Hampton,California,San Francisco,August,17126.52
B-25032,West,5591,1696,3,"5,166.72","4,849.60",Office Supplies,Pens,COD,06-08-2024,Denise Hampton,California,San Francisco,August,15500.16
B-25032,North,5122,2413,12,"3,710.92","3,686.81",Electronics,Electronic Games,COD,06-08-2024,Denise Hampton,California,San Francisco,August,44531.04
B-25730,West,8293,2632,8,"3,838.42","3,513.00",Office Supplies,Binders,COD,05-01-2022,Justin Rodriguez,Ohio,Cleveland,January,30707.36
B-25730,South,8293,2632,8,"4,417.79","4,271.99",Office Supplies,Binders,COD,17-10-2020,Ms. Emily Baxter,New York,Rochester,October,35342.32
B-25730,South,8293,2632,8,853.66,623.32,Office Supplies,Binders,COD,21-08-2023,Austin White,California,Los Angeles,August,6829.28
B-25730,East,2863,205,17,"3,723.66","3,544.48",Electronics,Phones,UPI,05-01-2022,Justin Rodriguez,Ohio,Cleveland,January,63302.22
B-25730,West,2863,205,17,"2,637.91","2,543.26",Electronics,Phones,UPI,17-10-2020,Ms. Emily Baxter,New York,Rochester,October,44844.47
B-25730,West,2863,205,17,"4,469.07","4,154.30",Electronics,Phones,UPI,21-08-2023,Austin White,California,Los Angeles,August,75974.19
B-26470,West,3090,573,6,"3,007.47","2,565.30",Furniture,Tables,EMI,27-12-2024,Morgan Montes,California,San Diego,December,18044.82
B-26470,East,3090,573,6,"3,600.14","3,120.19",Furniture,Tables,EMI,18-06-2021,Christine Mosley,Ohio,Cincinnati,June,21600.84
B-26470,East,3090,573,6,"2,519.07","2,414.82",Furniture,Tables,EMI,27-05-2023,Ashley Rodriguez,Texas,Austin,May,15114.42
B-26470,South,3090,573,6,"2,778.40","2,416.89",Furniture,Tables,EMI,12-10-2021,Elizabeth King,Texas,Dallas,October,16670.4
B-26470,North,9683,1014,5,"4,186.98","3,851.45",Electronics,Printers,UPI,27-12-2024,Morgan Montes,California,San Diego,December,20934.9
B-26470,West,9683,1014,5,"3,339.66","3,161.40",Electronics,Printers,UPI,18-06-2021,Christine Mosley,Ohio,Cincinnati,June,16698.3
B-26470,West,9683,1014,5,"3,204.01","3,184.65",Electronics,Printers,UPI,27-05-2023,Ashley Rodriguez,Texas,Austin,May,16020.05
B-26470,North,9683,1014,5,"2,626.90","2,278.90",Electronics,Printers,UPI,12-10-2021,Elizabeth King,Texas,Dallas,October,13134.5
B-25988,West,2463,648,18,"3,152.28","2,678.99",Furniture,Tables,EMI,19-09-2022,Connie Holmes,Ohio,Cincinnati,September,56741.04
B-25568,East,7811,1538,12,"4,061.04","3,741.30",Furniture,Sofas,COD,25-03-2022,Melissa Peck,Florida,Miami,March,48732.48
B-26730,East,6139,451,10,"4,361.70","4,138.41",Furniture,Tables,Debit Card,26-02-2022,David Smith,Florida,Orlando,February,43617
B-26730,West,6139,451,10,"3,765.31","3,497.98",Furniture,Tables,Debit Card,05-04-2021,Jacqueline Harris,Texas,Houston,April,37653.1
B-26730,East,8636,3192,3,"4,731.98","4,624.16",Furniture,Chairs,COD,26-02-2022,David Smith,Florida,Orlando,February,14195.94
B-26730,East,8636,3192,3,"4,488.37","4,110.60",Furniture,Chairs,COD,05-04-2021,Jacqueline Harris,Texas,Houston,April,13465.11
B-26730,West,4439,1712,19,"3,206.98","2,831.23",Furniture,Sofas,Credit Card,26-02-2022,David Smith,Florida,Orlando,February,60932.62
B-26730,South,4439,1712,19,"3,454.76","3,373.46",Furniture,Sofas,Credit Card,05-04-2021,Jacqueline Harris,Texas,Houston,April,65640.44
B-25372,North,1016,172,20,"5,075.44","4,635.23",Furniture,Tables,Debit Card,16-11-2020,Heather Jenkins,New York,Buffalo,November,101508.8
B-25372,East,5768,2059,14,"3,256.78","3,114.88",Furniture,Tables,UPI,16-11-2020,Heather Jenkins,New York,Buffalo,November,45594.92
B-25372,South,1217,151,3,"4,624.10","4,132.79",Furniture,Tables,Credit Card,16-11-2020,Heather Jenkins,New York,Buffalo,November,13872.3
B-26026,East,953,93,2,"3,657.23","3,459.61",Office Supplies,Paper,Debit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,December,7314.46
B-26026,East,953,93,2,"2,879.24","2,782.08",Office Supplies,Paper,Debit Card,06-04-2023,Katherine Harris,California,Los Angeles,April,5758.48
B-26026,North,7355,1034,3,"1,429.44","1,247.10",Furniture,Sofas,COD,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,December,4288.32
B-26026,East,7355,1034,3,"2,384.38","2,158.69",Furniture,Sofas,COD,06-04-2023,Katherine Harris,California,Los Angeles,April,7153.14
B-26026,North,1843,248,3,"4,884.29","4,840.33",Electronics,Phones,Credit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,December,14652.87
B-26026,North,1843,248,3,"3,599.27","3,305.94",Electronics,Phones,Credit Card,06-04-2023,Katherine Harris,California,Los Angeles,April,10797.81
B-26026,North,1603,361,10,"3,146.60","2,843.76",Office Supplies,Pens,Debit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,December,31466
B-26026,South,1603,361,10,"5,040.22","4,668.14",Office Supplies,Pens,Debit Card,06-04-2023,Katherine Harris,California,Los Angeles,April,50402.2
B-25295,West,2025,528,1,"2,977.52","2,953.23",Office Supplies,Pens,Credit Card,28-01-2024,Paul Rogers,Florida,Miami,January,2977.52
B-25295,South,6800,167,16,"2,929.32","2,654.11",Office Supplies,Binders,EMI,28-01-2024,Paul Rogers,Florida,Miami,January,46869.12
B-26121,West,1126,55,1,"3,844.51","3,808.59",Furniture,Bookcases,UPI,16-01-2022,Jon Banks,Florida,Tampa,January,3844.51
B-26121,West,1126,55,1,"3,931.25","3,577.69",Furniture,Bookcases,UPI,16-12-2022,Michelle Williams,New York,Buffalo,December,3931.25
B-25560,North,7533,3508,12,"1,043.45","1,006.14",Furniture,Tables,UPI,13-07-2023,Andrew Allen,California,San Diego,July,12521.4
B-25560,East,4734,1178,16,"2,839.73","2,382.98",Office Supplies,Binders,Credit Card,13-07-2023,Andrew Allen,California,San Diego,July,45435.68
B-25560,North,4074,1175,6,"2,742.97","2,388.95",Electronics,Electronic Games,Debit Card,13-07-2023,Andrew Allen,California,San Diego,July,16457.82
B-25560,East,2334,484,3,"2,180.83","1,922.21",Furniture,Sofas,Credit Card,13-07-2023,Andrew Allen,California,San Diego,July,6542.49
B-26076,West,2750,1239,11,"2,836.94","2,610.60",Electronics,Phones,Debit Card,10-03-2025,Vanessa Bauer,New York,Buffalo,March,31206.34
B-26076,North,2750,1239,11,"2,168.91","2,094.88",Electronics,Phones,Debit Card,24-09-2024,Sean Smith,Ohio,Cleveland,September,23858.01
B-26076,East,8639,3104,19,"1,189.35","1,036.76",Office Supplies,Pens,EMI,10-03-2025,Vanessa Bauer,New York,Buffalo,March,22597.65
B-26076,South,8639,3104,19,"2,527.00","2,091.21",Office Supplies,Pens,EMI,24-09-2024,Sean Smith,Ohio,Cleveland,September,48013
B-25872,East,3808,1192,4,860.95,407.77,Office Supplies,Markers,UPI,13-04-2020,Shelly Sweeney,New York,New York City,April,3443.8
B-25872,North,2588,705,16,"2,910.51","2,900.14",Office Supplies,Pens,Credit Card,13-04-2020,Shelly Sweeney,New York,New York City,April,46568.16
B-26185,South,1591,727,5,"4,576.72","4,275.59",Electronics,Electronic Games,Credit Card,27-06-2022,Emily Gill,Illinois,Springfield,June,22883.6
B-26185,East,1591,727,5,"4,002.63","3,640.17",Electronics,Electronic Games,Credit Card,14-03-2021,Brian Patrick,Florida,Tampa,March,20013.15
B-26185,East,1591,727,5,"2,147.14","1,833.95",Electronics,Electronic Games,Credit Card,23-02-2022,Dr. Sarah Booth,Ohio,Cincinnati,February,10735.7
B-26259,East,1757,622,10,531.02,481,Furniture,Chairs,UPI,29-03-2022,Douglas Mcfarland,Ohio,Cleveland,March,5310.2
B-26259,East,1757,622,10,"1,167.33","1,050.64",Furniture,Chairs,UPI,20-11-2022,Kayla Ross,Illinois,Peoria,November,11673.3
B-25142,East,6940,253,15,"2,882.85","2,750.18",Furniture,Bookcases,Debit Card,12-11-2021,Marc Strickland,Florida,Orlando,November,43242.75
B-25142,South,5105,465,5,"1,492.48","1,074.93",Electronics,Printers,UPI,12-11-2021,Marc Strickland,Florida,Orlando,November,7462.4
B-25326,West,5578,277,16,"2,979.64","2,742.67",Furniture,Tables,COD,17-08-2021,Charlene Brown,Florida,Miami,August,47674.24
B-25326,South,5578,277,16,"1,444.97","1,196.42",Furniture,Tables,COD,16-05-2022,Charles Smith,Ohio,Columbus,May,23119.52
B-26795,South,5224,1958,16,"4,720.27","4,252.17",Furniture,Chairs,Credit Card,16-07-2023,Karen Townsend,Texas,Houston,July,75524.32
B-26795,South,5002,1801,11,"2,338.66","2,016.49",Office Supplies,Markers,Credit Card,16-07-2023,Karen Townsend,Texas,Houston,July,25725.26
B-26795,West,7380,1673,18,"1,715.83","1,265.48",Office Supplies,Markers,COD,16-07-2023,Karen Townsend,Texas,Houston,July,30884.94
B-25660,North,7595,2873,4,"4,304.70","4,071.01",Furniture,Chairs,Debit Card,18-08-2020,Steven Cox,California,Los Angeles,August,17218.8
B-25660,West,7595,2873,4,"1,830.27","1,747.05",Furniture,Chairs,Debit Card,19-04-2022,Cynthia Rodriguez,New York,Rochester,April,7321.08
B-25410,South,1954,294,7,"1,067.53",601.86,Furniture,Sofas,Debit Card,23-12-2022,Jessica Baker,Texas,Austin,December,7472.71
B-25690,East,523,95,20,"3,108.30","2,873.53",Electronics,Printers,EMI,07-12-2024,Mark Blackburn,Texas,Dallas,December,62166
B-26464,East,5704,714,13,"3,027.74","2,928.74",Electronics,Laptops,EMI,03-02-2022,Zachary Perez,Texas,Austin,February,39360.62
B-26464,South,5704,714,13,"3,745.91","3,587.74",Electronics,Laptops,EMI,12-12-2021,Brian Green,California,San Diego,December,48696.83
B-26464,East,8797,1010,8,"1,273.98","1,239.09",Furniture,Tables,UPI,03-02-2022,Zachary Perez,Texas,Austin,February,10191.84
B-26464,South,8797,1010,8,"2,486.14","2,246.67",Furniture,Tables,UPI,12-12-2021,Brian Green,California,San Diego,December,19889.12
B-26464,East,9236,2899,5,"1,875.75","1,447.72",Electronics,Laptops,Debit Card,03-02-2022,Zachary Perez,Texas,Austin,February,9378.75
B-26464,West,9236,2899,5,918.17,450.72,Electronics,Laptops,Debit Card,12-12-2021,Brian Green,California,San Diego,December,4590.85
B-26454,North,9109,586,17,"4,856.22","4,389.24",Furniture,Sofas,EMI,17-05-2020,Becky Leach,Florida,Miami,May,82555.74
B-26742,North,4358,526,19,"3,729.27","3,657.91",Electronics,Phones,Credit Card,05-12-2022,Bryan Russell,Texas,Dallas,December,70856.13
B-26742,West,4358,526,19,"1,739.45","1,542.24",Electronics,Phones,Credit Card,17-09-2024,Tony Maddox,California,San Francisco,September,33049.55
B-26742,West,6459,825,8,"3,040.73","3,016.90",Electronics,Phones,Credit Card,05-12-2022,Bryan Russell,Texas,Dallas,December,24325.84
B-26742,South,6459,825,8,"1,475.29","1,046.26",Electronics,Phones,Credit Card,17-09-2024,Tony Maddox,California,San Francisco,September,11802.32
B-25510,South,2478,92,12,"4,642.46","4,456.67",Furniture,Bookcases,COD,08-05-2023,Jason Randolph,California,San Francisco,May,55709.52
B-25510,South,2478,92,12,938.04,618.79,Furniture,Bookcases,COD,03-03-2021,Laura Andrews,New York,New York City,March,11256.48
B-25510,East,2478,92,12,429.29,68.99,Furniture,Bookcases,COD,18-03-2021,Mrs. Stephanie Hooper,California,San Francisco,March,5151.48
B-25510,South,2478,92,12,"2,755.56","2,534.94",Furniture,Bookcases,COD,24-04-2023,Anthony Evans,Ohio,Cleveland,April,33066.72
B-25936,West,9992,3696,20,"3,096.64","2,936.48",Office Supplies,Pens,Debit Card,09-10-2021,Patrick Williams,New York,Rochester,October,61932.8
B-25936,North,9992,3696,20,"3,397.36","2,915.88",Office Supplies,Pens,Debit Card,15-04-2022,Susan Burke,Texas,Austin,April,67947.2
B-25936,East,9992,3696,20,802.43,319.83,Office Supplies,Pens,Debit Card,29-08-2022,Brent Hernandez,New York,Rochester,August,16048.6
B-25936,South,9619,3420,7,"1,756.34","1,604.52",Office Supplies,Binders,UPI,09-10-2021,Patrick Williams,New York,Rochester,October,12294.38
B-25936,East,9619,3420,7,"2,766.05","2,521.03",Office Supplies,Binders,UPI,15-04-2022,Susan Burke,Texas,Austin,April,19362.35
B-25936,East,9619,3420,7,"1,608.76","1,122.07",Office Supplies,Binders,UPI,29-08-2022,Brent Hernandez,New York,Rochester,August,11261.32
B-25884,South,9538,3158,20,"4,381.89","4,369.50",Electronics,Printers,Credit Card,04-09-2024,Sean Elliott,California,San Francisco,September,87637.8
B-25884,East,9538,3158,20,693.4,481.19,Electronics,Printers,Credit Card,18-05-2021,Wanda West,Ohio,Cleveland,May,13868
B-25884,North,9035,1227,14,"2,521.77","2,462.55",Furniture,Chairs,EMI,04-09-2024,Sean Elliott,California,San Francisco,September,35304.78
B-25884,West,9035,1227,14,"3,732.00","3,472.51",Furniture,Chairs,EMI,18-05-2021,Wanda West,Ohio,Cleveland,May,52248
B-26287,West,2684,670,2,"1,367.76","1,345.67",Office Supplies,Paper,COD,02-07-2024,Renee Solomon,Florida,Tampa,July,2735.52
B-26287,North,822,147,5,"3,349.37","3,139.99",Furniture,Sofas,Credit Card,02-07-2024,Renee Solomon,Florida,Tampa,July,16746.85
B-26287,East,9730,2341,2,"4,273.60","4,155.46",Furniture,Chairs,EMI,02-07-2024,Renee Solomon,Florida,Tampa,July,8547.2
B-26287,South,2483,236,2,"1,263.49",992.17,Electronics,Electronic Games,COD,02-07-2024,Renee Solomon,Florida,Tampa,July,2526.98
B-26564,East,1297,600,7,"5,088.28","4,590.24",Office Supplies,Binders,Credit Card,16-02-2024,Daryl Miles,Florida,Orlando,February,35617.96
B-26564,North,7909,1942,19,"3,192.37","2,790.11",Electronics,Phones,COD,16-02-2024,Daryl Miles,Florida,Orlando,February,60655.03
B-26293,East,9768,4518,8,"1,955.56","1,531.20",Furniture,Tables,Credit Card,26-11-2021,Michael Hunt,Texas,Dallas,November,15644.48
B-26293,West,4968,934,5,"2,504.03","2,182.75",Furniture,Sofas,Debit Card,26-11-2021,Michael Hunt,Texas,Dallas,November,12520.15
B-26293,East,1731,149,4,"1,625.71","1,595.35",Electronics,Laptops,EMI,26-11-2021,Michael Hunt,Texas,Dallas,November,6502.84
B-25915,North,3433,1169,10,"3,750.63","3,639.30",Office Supplies,Binders,COD,01-02-2024,Adam Clark,California,San Francisco,February,37506.3
B-25915,West,3433,1169,10,"4,454.97","3,991.69",Office Supplies,Binders,COD,09-09-2021,Amy Olsen,Illinois,Springfield,September,44549.7
B-25915,East,3433,1169,10,"4,362.44","4,173.04",Office Supplies,Binders,COD,08-09-2021,Stacey Miller,California,San Diego,September,43624.4
B-25915,East,3887,1490,1,"4,990.33","4,929.55",Office Supplies,Binders,Debit Card,01-02-2024,Adam Clark,California,San Francisco,February,4990.33
B-25915,West,3887,1490,1,"4,321.04","3,966.86",Office Supplies,Binders,Debit Card,09-09-2021,Amy Olsen,Illinois,Springfield,September,4321.04
B-25915,South,3887,1490,1,"3,183.58","3,026.85",Office Supplies,Binders,Debit Card,08-09-2021,Stacey Miller,California,San Diego,September,3183.58
B-26496,West,1801,641,20,"1,870.88","1,729.14",Office Supplies,Markers,Credit Card,09-07-2024,Daniel Mosley,California,Los Angeles,July,37417.6
B-26496,South,5301,817,10,"3,244.76","2,745.75",Furniture,Tables,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,July,32447.6
B-26496,North,1166,520,12,683.78,253.29,Office Supplies,Paper,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,July,8205.36
B-26496,North,3196,1411,15,"3,946.77","3,736.88",Office Supplies,Paper,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,July,59201.55
B-25856,West,3428,350,1,"2,747.81","2,257.48",Furniture,Chairs,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,February,2747.81
B-25856,West,7223,2433,12,477.67,149.11,Office Supplies,Binders,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,February,5732.04
B-25856,North,3731,647,1,733,359.41,Office Supplies,Pens,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,February,733
B-26899,South,8903,4401,18,"1,993.40","1,967.96",Office Supplies,Pens,Credit Card,08-08-2022,Christopher Jordan,Ohio,Columbus,August,35881.2
B-25916,North,6009,2107,7,"3,007.53","2,937.94",Electronics,Phones,UPI,07-12-2022,Christina Davis,Illinois,Chicago,December,21052.71
B-25916,West,6009,2107,7,"2,668.02","2,347.81",Electronics,Phones,UPI,29-04-2024,Claudia Curry,Texas,Austin,April,18676.14
B-25916,North,2858,230,3,"3,565.58","3,115.06",Furniture,Tables,Credit Card,07-12-2022,Christina Davis,Illinois,Chicago,December,10696.74
B-25916,West,2858,230,3,"2,743.09","2,427.46",Furniture,Tables,Credit Card,29-04-2024,Claudia Curry,Texas,Austin,April,8229.27
B-25916,West,8175,525,7,"3,401.10","3,325.43",Furniture,Sofas,Credit Card,07-12-2022,Christina Davis,Illinois,Chicago,December,23807.7
B-25916,North,8175,525,7,"1,201.39","1,134.67",Furniture,Sofas,Credit Card,29-04-2024,Claudia Curry,Texas,Austin,April,8409.73
B-25916,South,5846,586,18,"1,032.22",608.57,Furniture,Sofas,UPI,07-12-2022,Christina Davis,Illinois,Chicago,December,18579.96
B-25916,East,5846,586,18,"3,080.61","3,002.35",Furniture,Sofas,UPI,29-04-2024,Claudia Curry,Texas,Austin,April,55450.98
B-26428,North,706,197,11,"2,714.12","2,449.21",Electronics,Laptops,Credit Card,02-01-2022,Brandon Anderson,Texas,Austin,January,29855.32
B-26332,East,9835,2571,16,211.18,182.99,Furniture,Tables,COD,10-06-2022,George Foster,Texas,Dallas,June,3378.88
B-26332,North,9835,2571,16,"1,982.92","1,933.39",Furniture,Tables,COD,16-11-2021,Nicholas Anderson,Florida,Orlando,November,31726.72
B-26332,East,9835,2571,16,914.77,575.32,Furniture,Tables,COD,17-08-2022,Emily Ellison,California,Los Angeles,August,14636.32
B-26332,South,9691,3056,13,"3,027.92","2,680.22",Office Supplies,Markers,Credit Card,10-06-2022,George Foster,Texas,Dallas,June,39362.96
B-26332,South,9691,3056,13,"2,186.42","2,009.10",Office Supplies,Markers,Credit Card,16-11-2021,Nicholas Anderson,Florida,Orlando,November,28423.46
B-26332,North,9691,3056,13,"3,200.75","3,085.10",Office Supplies,Markers,Credit Card,17-08-2022,Emily Ellison,California,Los Angeles,August,41609.75
B-26332,West,7826,1221,14,"4,446.45","4,037.73",Furniture,Bookcases,UPI,10-06-2022,George Foster,Texas,Dallas,June,62250.3
B-26332,East,7826,1221,14,"1,649.74","1,533.36",Furniture,Bookcases,UPI,16-11-2021,Nicholas Anderson,Florida,Orlando,November,23096.36
B-26332,West,7826,1221,14,"5,088.00","4,812.41",Furniture,Bookcases,UPI,17-08-2022,Emily Ellison,California,Los Angeles,August,71232
B-25303,West,770,241,11,"3,185.81","2,701.39",Furniture,Sofas,COD,23-11-2021,Darren Perez,Texas,Austin,November,35043.91
B-25303,West,770,241,11,"3,192.99","3,110.54",Furniture,Sofas,COD,04-03-2023,Michelle Hunter,Ohio,Cincinnati,March,35122.89
B-26507,South,9895,1598,20,"3,890.36","3,419.33",Furniture,Bookcases,COD,16-12-2023,Janet Guerrero,New York,Rochester,December,77807.2
B-25983,North,6517,1581,10,"3,449.94","3,350.32",Office Supplies,Paper,Debit Card,19-05-2024,Jeffrey Kline,Florida,Miami,May,34499.4
B-25983,North,6517,1581,10,"2,867.36","2,579.31",Office Supplies,Paper,Debit Card,14-05-2020,Ryan Bullock,Florida,Tampa,May,28673.6
B-25983,South,1166,349,11,"2,367.11","2,172.38",Furniture,Tables,Credit Card,19-05-2024,Jeffrey Kline,Florida,Miami,May,26038.21
B-25983,South,1166,349,11,799.04,316.22,Furniture,Tables,Credit Card,14-05-2020,Ryan Bullock,Florida,Tampa,May,8789.44
B-25156,North,9820,793,16,303.36,159.32,Furniture,Chairs,Credit Card,29-08-2021,Tom Lawson,New York,Buffalo,August,4853.76
B-26759,West,8563,2624,8,"2,027.74","1,821.91",Office Supplies,Binders,COD,10-11-2024,Rebecca Smith,Texas,Dallas,November,16221.92
B-26759,East,4441,281,20,"2,193.22","1,701.62",Electronics,Printers,COD,10-11-2024,Rebecca Smith,Texas,Dallas,November,43864.4
B-26244,East,7340,2271,8,"2,241.96","1,969.09",Office Supplies,Paper,EMI,05-12-2021,William Welch,Florida,Orlando,December,17935.68
B-26244,East,5442,1610,1,991.21,734.92,Electronics,Phones,EMI,05-12-2021,William Welch,Florida,Orlando,December,991.21
B-26365,West,1895,391,14,"3,840.24","3,703.93",Furniture,Tables,UPI,05-07-2024,Mr. Curtis Bailey,Florida,Tampa,July,53763.36
B-26365,North,5323,322,13,"4,645.64","4,291.97",Office Supplies,Binders,COD,05-07-2024,Mr. Curtis Bailey,Florida,Tampa,July,60393.32
B-26212,South,8850,279,13,"4,713.68","4,696.64",Office Supplies,Markers,Debit Card,25-06-2024,Janet Carlson,Florida,Miami,June,61277.84
B-26212,North,8667,1266,6,"2,521.45","2,487.19",Office Supplies,Paper,Debit Card,25-06-2024,Janet Carlson,Florida,Miami,June,15128.7
B-25042,West,6903,105,1,"3,822.98","3,519.29",Furniture,Tables,COD,31-05-2024,Spencer Spears,Illinois,Chicago,May,3822.98
B-25042,South,8793,3010,7,"4,462.40","4,284.98",Office Supplies,Pens,COD,31-05-2024,Spencer Spears,Illinois,Chicago,May,31236.8
B-25901,West,9883,4812,16,"2,597.67","2,120.54",Office Supplies,Paper,UPI,20-10-2020,Jeffrey Middleton,New York,Buffalo,October,41562.72
